user,churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
60975,0,31.0,na,609.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Cancer,0,0,,0.0,0
58483,0,67.0,na,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,,0.0,0
53915,0,22.0,na,478.0,0,0,4,0,0,1,0,0,0,1,1,1,0,1,0,na,0,0,0,0,Gemini,0,0,4.0,0.13,0
17090,0,22.0,R,554.0,0,0,0,0,0,44,0,0,3,1,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,22.0,0.73,0
18520,0,39.0,R,,0,0,30,0,0,43,0,0,5,1,1,1,0,1,3,Semi-Monthly,0,0,0,0,Cancer,0,0,13.0,0.43,1
34286,0,40.0,R,687.0,0,0,7,0,2,217,3,0,31,1,1,1,0,1,0,Weekly,0,0,0,0,Pisces,0,0,60.0,2.0,1
19660,0,41.0,na,586.0,1,0,5,1,0,12,0,0,6,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,2.0,0.0899999999999999,1
27637,0,36.0,na,605.0,0,0,71,0,0,152,0,0,13,1,1,1,1,0,0,Semi-Monthly,0,0,0,0,Taurus,0,0,31.0,1.03,0
33583,0,37.0,na,559.0,0,0,115,0,0,220,0,0,7,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Virgo,0,0,45.0,1.5,0
7116,0,64.0,R,660.0,15,1,6,15,0,259,0,0,8,1,0,0,1,0,0,Monthly,0,0,0,0,Scorpio,0,0,66.0,2.2,1
54858,0,18.0,na,491.0,0,0,19,0,0,25,0,0,4,1,1,1,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,11.0,0.37,0
23514,0,37.0,na,457.0,0,0,10,0,0,20,0,0,4,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Taurus,0,0,10.0,0.33,0
11987,0,31.0,R,570.0,12,1,97,12,0,195,0,0,22,1,0,0,1,0,0,Weekly,0,0,0,0,na,0,0,47.0,1.5699999999999998,1
37239,0,21.0,R,523.0,0,0,12,0,0,39,0,0,3,1,1,1,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,23.0,0.77,0
33088,0,49.0,R,579.0,30,6,106,30,0,227,0,0,28,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,60.0,2.0,1
33912,0,41.0,R,499.0,0,0,0,0,1,200,1,0,19,1,1,1,1,0,0,na,0,0,0,0,Scorpio,0,0,62.0,2.07,0
55668,0,27.0,R,490.0,1,0,19,1,0,25,0,0,5,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,8.0,0.73,0
33766,0,41.0,na,613.0,4,1,9,4,0,18,0,0,2,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,5.0,0.71,0
33983,0,27.0,R,648.0,33,1,48,32,0,245,0,0,20,1,0,0,0,1,0,Weekly,0,0,0,0,Sagittarius,1,0,64.0,2.13,0
26904,0,21.0,R,479.0,31,2,55,31,0,256,0,0,14,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,63.0,2.1,0
777,0,27.0,R,528.0,1,0,143,1,0,251,0,0,22,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,0,0,65.0,2.17,1
11036,0,40.0,na,581.0,0,0,156,0,0,234,0,0,12,1,1,1,0,1,4,na,0,0,0,0,Sagittarius,0,0,65.0,2.17,0
40043,0,24.0,na,594.0,0,0,21,0,0,22,0,0,3,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,14.0,0.54,1
17986,0,29.0,R,598.0,0,0,0,0,1,249,0,0,31,1,1,1,1,0,0,Weekly,0,0,0,0,Libra,0,0,57.0,1.9,0
4049,0,31.0,na,,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,na,0,0,0,0,Sagittarius,0,0,,0.0,0
4144,0,45.0,R,564.0,0,0,0,0,0,172,0,0,2,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,62.0,2.07,0
14734,0,31.0,O,536.0,0,0,71,0,0,204,0,0,1,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Pisces,1,0,51.0,1.7,0
45212,0,23.0,na,,0,0,27,0,0,67,0,0,2,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Aries,0,0,23.0,0.77,1
52350,0,51.0,na,,0,0,8,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,5.0,0.1699999999999999,0
56040,0,26.0,R,582.0,3,1,68,3,0,173,0,0,10,1,0,0,0,1,0,na,0,0,0,0,Cancer,0,0,37.0,1.23,1
35151,0,22.0,na,526.0,0,0,48,0,0,161,0,0,14,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,40.0,1.33,1
17121,0,29.0,na,605.0,25,1,60,25,0,129,0,0,34,1,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,24.0,0.0,1
29763,0,38.0,O,772.0,0,0,66,0,0,97,0,0,1,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,43.0,1.4300000000000002,0
47921,0,20.0,na,,1,0,2,1,0,1,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,2.0,0.0699999999999999,0
2195,0,33.0,O,661.0,5,1,73,5,0,197,0,0,18,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,na,0,0,51.0,1.7,1
54630,0,35.0,na,599.0,0,0,15,0,0,17,0,0,7,1,0,0,1,0,0,na,0,0,0,0,Aries,0,0,8.0,0.89,0
49247,0,48.0,O,538.0,10,0,63,9,0,149,0,0,27,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,37.0,1.23,1
22784,0,32.0,na,,0,0,2,0,0,6,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,1.0,0.25,0
31501,0,24.0,na,523.0,0,0,6,0,0,10,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,3.0,0.1,0
56749,0,47.0,na,550.0,0,0,12,0,0,16,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,6.0,0.3,0
55378,0,25.0,R,547.0,9,0,19,9,0,46,0,0,1,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,12.0,0.86,0
43110,0,45.0,R,467.0,35,2,75,35,0,159,0,0,34,1,1,1,0,1,0,Weekly,0,0,0,0,Leo,0,0,35.0,1.17,1
12244,0,23.0,R,514.0,54,6,70,53,0,250,0,0,39,1,0,0,0,1,3,Bi-Weekly,0,0,0,0,Aries,1,0,63.0,2.1,0
28929,0,30.0,na,567.0,37,1,89,37,0,208,0,0,3,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,66.0,2.2,0
6919,0,28.0,R,597.0,0,0,0,0,0,207,0,0,4,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,65.0,2.17,0
6982,0,27.0,R,565.0,0,0,5,0,0,68,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,35.0,1.17,0
10181,0,29.0,R,530.0,49,1,64,48,0,261,0,0,73,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Aquarius,0,0,51.0,1.7,0
48070,0,48.0,O,598.0,0,0,31,0,0,131,0,0,10,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,36.0,1.2,0
44618,0,35.0,R,494.0,1,1,21,1,0,93,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,17.0,0.8099999999999998,1
64799,0,26.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,,0.0,0
54936,0,26.0,na,553.0,0,0,106,0,0,201,0,0,7,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,42.0,1.4,0
8334,0,31.0,O,547.0,0,0,48,0,0,208,0,0,16,1,1,1,0,1,0,na,0,0,0,0,Libra,1,0,41.0,1.37,1
63394,0,32.0,na,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Leo,0,0,,0.0,0
23458,0,36.0,na,520.0,0,0,25,0,0,38,0,0,3,1,1,1,1,0,0,na,0,0,0,0,Libra,0,0,9.0,0.3,0
15090,0,28.0,na,469.0,0,0,0,0,0,196,0,0,26,1,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,57.0,1.9,0
1378,0,22.0,R,,0,0,108,0,0,215,0,0,4,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,na,0,1,58.0,1.93,0
30098,0,65.0,na,528.0,0,0,75,0,0,154,0,0,2,1,1,1,1,1,3,Monthly,0,0,0,0,Leo,0,0,35.0,1.17,0
60934,0,26.0,na,480.0,2,0,5,2,0,16,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,4.0,0.8,1
25782,0,45.0,na,564.0,1,0,62,1,0,175,0,0,10,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,54.0,1.8,0
26457,0,48.0,R,524.0,0,0,44,0,0,248,0,0,12,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,Virgo,0,0,60.0,2.0,1
65326,0,29.0,na,524.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,1,0,,0.0,0
800,0,27.0,na,,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,Weekly,0,0,0,0,Libra,0,0,1.0,0.03,0
36479,0,25.0,na,,0,0,28,0,0,58,0,0,4,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,16.0,0.53,1
65581,0,30.0,na,,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,Semi-Monthly,0,0,0,0,Virgo,0,0,,0.0,1
27579,0,28.0,R,511.0,0,0,0,0,0,74,0,0,7,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,na,1,0,38.0,1.27,0
29586,0,41.0,R,522.0,5,0,70,5,0,140,0,0,7,1,1,1,1,0,2,Monthly,0,0,0,0,Sagittarius,0,0,34.0,1.13,1
63986,0,33.0,na,511.0,1,0,25,1,0,29,0,0,2,1,1,1,1,0,0,Weekly,0,0,0,0,Libra,0,0,10.0,0.56,1
23128,0,34.0,R,501.0,2,0,77,2,0,129,0,0,9,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,48.0,1.6,0
7212,0,31.0,R,533.0,17,3,172,16,0,273,0,0,56,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,55.0,1.83,1
44479,0,20.0,na,479.0,0,0,92,0,0,241,0,0,23,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,39.0,1.3,1
32842,0,46.0,na,510.0,0,0,0,0,0,30,0,0,4,1,1,1,1,0,0,Weekly,0,0,0,0,Libra,0,0,23.0,0.77,0
49794,0,26.0,R,547.0,0,0,58,0,0,93,0,0,4,1,0,0,1,0,0,Weekly,0,0,0,0,na,1,0,30.0,1.0,1
30096,0,47.0,O,617.0,0,0,0,0,2,282,1,0,51,1,1,1,0,1,0,Monthly,0,0,0,0,Gemini,1,0,67.0,2.23,1
42387,0,42.0,O,518.0,0,0,34,0,0,241,0,0,30,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,62.0,2.07,0
30362,0,41.0,na,,0,0,18,0,0,45,0,0,3,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,11.0,0.58,0
31201,0,26.0,R,484.0,1,0,56,0,0,171,0,0,2,1,0,0,1,1,2,Bi-Weekly,0,0,0,0,Virgo,0,0,46.0,1.53,1
20242,0,43.0,O,519.0,0,0,120,0,0,249,0,0,10,1,1,1,1,0,0,Weekly,0,0,0,0,Libra,0,0,60.0,2.0,0
43679,0,29.0,na,599.0,0,0,14,0,0,16,0,0,6,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,7.0,0.78,0
44223,1,33.0,R,,0,0,4,0,0,3,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2.0,0.0699999999999999,0
12009,0,21.0,O,628.0,0,0,4,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.0,0.03,0
14168,0,34.0,R,542.0,0,0,96,0,0,182,0,0,9,1,0,0,0,1,0,Monthly,0,0,0,0,Aries,0,0,29.0,0.97,1
49349,0,26.0,na,,0,0,3,0,0,22,0,0,6,1,1,1,0,1,3,Bi-Weekly,0,0,0,0,Scorpio,0,0,7.0,0.23,1
47172,0,45.0,R,,0,0,0,0,0,30,0,0,4,1,0,0,1,0,0,Bi-Weekly,0,0,1,0,Aquarius,0,0,33.0,1.1,0
50923,0,32.0,R,,11,5,11,11,0,42,0,0,13,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,na,0,0,9.0,0.6900000000000001,0
22556,0,35.0,R,586.0,1,1,84,1,0,242,0,0,44,1,1,1,1,0,2,Monthly,0,0,0,0,Capricorn,0,0,60.0,2.0,1
42878,0,39.0,na,,4,0,4,4,0,5,0,0,1,1,1,1,0,1,5,Bi-Weekly,0,0,0,0,Libra,0,0,7.0,0.23,0
37367,0,29.0,R,569.0,14,0,69,14,0,135,0,0,5,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,31.0,1.03,1
35987,0,25.0,na,559.0,0,0,41,0,0,40,0,0,3,1,0,0,1,0,2,Weekly,0,0,0,0,Scorpio,0,0,16.0,0.53,0
52547,0,23.0,na,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,,0.0,0
8218,0,31.0,na,557.0,5,0,58,5,0,149,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,40.0,1.33,0
